Whealbi serial number	Taxonomy	Taxonomy	Taxonomy	Variety/Genotype	Acession number	Genome	Country of origin	Collection site	Altitude	Latitude	Longitude	Growth habit	Biological status	Year listed / recommended; acquisition year; released	Pedigree	Population	Seed source	Source genebank	Breeder
WW-162	Triticum	aestivum		Sogood		BAD	France						cultivar	2006			Marion Röder		
WW-163	Triticum	aestivum		Frument		BAD	Denmark						cultivar	2006			Marion Röder		
WW-164	Triticum	aestivum		Rosario 		BAD	France						cultivar	2004			Marion Röder		
WW-165	Triticum	aestivum		Hereford		BAD	Denmark?						cultivar				Marion Röder		
WW-166	Triticum	aestivum		Mulan		BAD	Germany						cultivar	2006			Marion Röder		
WW-167	Triticum	aestivum		Ephoros		BAD	France						cultivar	2004			Marion Röder		
WW-168	Triticum	aestivum		Mikon		BAD	Germany						cultivar	1988			Marion Röder		
WW-169	Triticum	aestivum		Inspiration		BAD	Germany						cultivar	2007			Marion Röder		
WW-170	Triticum	aestivum		Opata		BAD							cultivar			Parent ITMI population (Mexican spring wheat variety)	Marion Röder		
WW-171	Triticum	aestivum		M6		BAD							cultivar			Parent ITMI population (synthetic wheat)	Marion Röder		
WW-172	Triticum	aestivum		Yuval		BAD	Israel										Saranga/Fahima		
WW-173	Triticum	aestivum		Zahir		BAD	Israel										Saranga/Fahima		
WW-174	Triticum	aestivum		Bar Nir		BAD	Israel										Saranga/Fahima		
WW-175	Triticum	aestivum		Gedera		BAD	Israel										Saranga/Fahima		
WW-176	Triticum	aestivum		Ruta		BAD	Israel										Saranga/Fahima		
WW-177	Triticum	aestivum		Galil		BAD	Israel										Saranga/Fahima		
WW-183	Triticum	aestivum		Turkmen-98		BAD	Turkey					Winter	Current variety	1998			Hakan Özkan		TAGEM
WW-184	Triticum	aestivum		Özkan		BAD	Turkey					Alternative	Current variety	30/03/2010			Hakan Özkan		Cukurova Uni.
WW-185	Triticum	aestivum		Balattila		BAD	Turkey					Alternative	Current variety	28/04/2000			Hakan Özkan		Cukurova Uni.
WW-186	Triticum	aestivum		Genç-99		BAD	Turkey					Alternative	Current variety	26/04/1999			Hakan Özkan		Cukurova Uni.
WW-187	Triticum	aestivum	var. subsardoum		TRI_3342	BAD	China					Winter				GENDIV	Kilian		
WW-188	Triticum	aestivum	var. ferrugineum		TRI 7843	BAD	Bulgaria					Winter				GENDIV	Kilian		
WW-189	Triticum	aestivum	var. aestivum	Nr. 301	TRI 7719	BAD	Bulgaria					Winter				GENDIV	Kilian		
WW-190	Triticum	aestivum		Pehlivan		BAD	Turkey					Winter	Current variety	15/05/1998			Hakan Özkan		TAGEM
WW-191	Triticum	aestivum		Tosunbey		BAD	Turkey					Winter	Current variety	01/04/2004			Hakan Özkan		TAGEM
WW-192	Triticum	aestivum		Sertak-52		BAD	Turkey					Winter	Old variety	1936			Hakan Özkan		-
WW-193	Triticum	aestivum	var. aestivum	Karnobater Frühreifer	TRI 3702	BAD	Bulgaria					Winter				GENDIV	Kilian		
WW-194	Triticum	aestivum		Cumhuriyet-75		BAD	Turkey					Alternative	Old variety	13/05/1976			Hakan Özkan		TAGEM
WW-195	Triticum	aestivum		Sivas 111/33		BAD	Turkey					Winter	Old variety	1937			Hakan Özkan		-
WW-196	Triticum	aestivum		Akçabuğday		BAD	Turkey					Alternative	Landrace				Hakan Özkan		-
WW-197	Triticum	aestivum	var. erythroleucon		TRI 6388	BAD	Iran					Winter				GENDIV	Kilian		
WW-199	Triticum	aestivum	var. meridionale		TRI 6471	BAD	Iran					Winter				GENDIV	Kilian		
WW-206	Triticum	aestivum	var. erythroleucon		TRI 6669	BAD	Iran					Winter				GENDIV	Kilian		
WW-207	Triticum	aestivum		H996	AUS10963	BAD	Afghanistan					spring	Landrace				Beat Keller	AWCC	
WW-208	Triticum	aestivum		H995	AUS13636	BAD	Afghanistan					spring	Landrace				Beat Keller	AWCC	
